"","x"
"883",0
"884",0
"885",0
"886",1
"887",3
"888",9
"889",1
"890",3
"891",0
"892",15
"893",0
"894",1
"895",2
"896",0
"897",0
"898",2
"899",0
"900",2
"901",1
"902",1
"903",1
"904",2
"905",0
"906",0
"907",0
"908",11
"909",1
"910",0
"911",11
"912",0
"913",0
"914",1
"915",1
"916",3
"917",1
"918",1
"919",0
"920",1
"921",0
"922",1
"923",2
"924",1
"925",2
"926",4
"927",3
"928",0
"929",0
"930",3
"931",2
"932",3
"933",1
"934",1
"935",1
"936",0
"937",2
"938",0
"939",0
"940",1
"941",1
"942",1
"943",1
"944",0
"945",1
"946",2
"947",1
"948",1
"949",6
"950",1
"951",0
"952",0
"953",2
"954",0
"955",1
"956",1
"957",0
"958",1
"959",1
"960",1
"961",1
"962",2
"963",0
"964",0
"965",3
"966",1
"967",7
"968",4
"969",2
"970",0
"971",1
"972",1
"973",1
"974",9
"975",3
"976",0
"977",0
"978",2
"979",2
"980",0
"981",0
"982",0
"983",0
"984",2
"985",0
"986",0
"987",1
"988",0
"989",0
"990",0
"991",1
"992",0
"993",1
"994",1
"995",1
"996",1
"997",0
"998",5
"999",1
"1000",1
"1001",1
"1002",0
"1003",0
"1004",1
"1005",0
"1006",4
"1007",2
"1008",0
"1009",1
"1010",3
"1011",1
"1012",2
"1013",4
"1014",1
"1015",0
"1016",0
"1017",1
"1018",4
"1019",1
"1020",1
"1021",3
"1022",1
"1023",3
"1024",0
"1025",2
"1026",0
"1027",1
"1028",1
"1029",0
"1030",1
"1031",1
"1032",0
"1033",1
"1034",1
"1035",2
"1036",0
"1037",1
"1038",1
"1039",0
"1040",2
"1041",1
"1042",1
"1043",2
"1044",0
"1045",0
"1046",2
"1047",1
"1048",1
"1049",2
"1050",1
"1051",0
"1052",2
"1053",2
"1054",10
"1055",1
"1056",1
"1057",15
"1058",1
"1059",8
"1060",0
"1061",2
"1062",0
"1063",0
"1064",0
"1065",5
"1066",6
"1067",2
"1068",4
"1069",7
"1070",1
"1071",3
"1072",0
"1073",2
"1074",0
"1075",0
"1076",0
"1077",0
"1078",2
"1079",4
"1080",3
"1081",2
"1082",0
"1083",0
"1084",2
"1085",2
"1086",10
"1087",5
"1088",2
"1089",3
"1090",1
"1091",1
"1092",8
"1093",1
"1094",0
"1095",0
"1096",1
"1097",1
"1098",2
"1099",1
"1100",1
"1101",0
"1102",1
"1103",4
"1104",9
"1105",1
"1106",0
"1107",1
"1108",0
"1109",1
"1110",1
"1111",1
"1112",0
"1113",2
"1114",0
"1115",0
"1116",2
"1117",2
"1118",1
"1119",0
"1120",1
"1121",0
"1122",2
"1123",1
"1124",0
"1125",1
"1126",1
"1127",1
"1128",0
"1129",1
"1130",0
"1131",2
"1132",0
"1133",8
"1134",2
"1135",1
"1136",2
"1137",1
"1138",0
"1139",0
"1140",1
"1141",3
"1142",1
"1143",1
"1144",2
"1145",1
"1146",0
"1147",0
"1148",1
"1149",1
"1150",0
"1151",5
"1152",1
"1153",1
"1154",0
"1155",0
"1156",0
"1157",1
"1158",0
"1159",1
"1160",0
"1161",0
"1162",2
"1163",2
"1164",0
"1165",0
"1166",0
"1167",2
"1168",0
"1169",1
"1170",1
"1171",0
"1172",0
"1173",1
"1174",4
"1175",1
"1176",12
"1177",6
"1178",7
"1179",1
"1180",3
"1181",1
"1182",1
"1183",3
"1184",2
"1185",1
"1186",0
"1187",0
"1188",1
"1189",2
"1190",3
"1191",0
"1192",3
"1193",0
"1194",2
"1195",1
"1196",1
"1197",3
"1198",1
"1199",1
"1200",2
"1201",1
"1202",5
"1203",2
"1204",0
"1205",9
"1206",0
"1207",1
"1208",2
"1209",3
"1210",2
"1211",1
"1212",0
"1213",1
"1214",0
"1215",1
"1216",0
"1217",10
"1218",6
"1219",0
"1220",1
"1221",1
"1222",1
"1223",3
"1224",0
"1225",1
"1226",1
"1227",1
"1228",1
"1229",0
"1230",1
"1231",6
"1232",1
"1233",0
"1234",1
"1235",0
"1236",1
"1237",2
"1238",2
"1239",1
"1240",1
"1241",1
"1242",1
"1243",1
"1244",1
"1245",2
"1246",1
"1247",0
"1248",1
"1249",4
"1250",0
"1251",2
"1252",2
"1253",0
"1254",1
"1255",1
"1256",0
"1257",0
"1258",1
"1259",0
"1260",0
"1261",1
"1262",1
"1263",2
"1264",1
"1265",0
"1266",1
"1267",1
"1268",1
"1269",1
"1270",2
"1271",1
"1272",1
"1273",5
"1274",1
"1275",1
"1276",1
"1277",0
"1278",1
"1279",0
"1280",1
"1281",2
"1282",2
"1283",7
"1284",1
"1285",3
"1286",1
"1287",4
"1288",1
"1289",2
"1290",4
"1291",6
"1292",1
"1293",3
"1294",3
"1295",0
"1296",6
"1297",4
"1298",1
"1299",1
"1300",2
"1301",1
"1302",1
"1303",14
"1304",1
"1305",0
"1306",1
"1307",0
"1308",0
"1309",1
"1310",1
"1311",2
"1312",2
"1313",1
"1314",0
"1315",1
"1316",2
"1317",1
"1318",0
"1319",1
"1320",1
"1321",0
"1322",1
"1323",1
"1324",1
"1325",1
"1326",0
"1327",1
"1328",0
"1329",12
"1330",0
"1331",1
"1332",0
"1333",1
"1334",1
"1335",1
"1336",9
"1337",1
"1338",4
"1339",6
"1340",2
"1341",0
"1342",1
"1343",1
"1344",3
"1345",5
"1346",0
"1347",3
"1348",1
"1349",12
"1350",0
"1351",0
"1352",1
"1353",2
"1354",1
"1355",1
"1356",1
"1357",1
"1358",3
"1359",3
"1360",1
"1361",1
"1362",1
"1363",1
"1364",1
"1365",0
"1366",1
"1367",1
"1368",0
"1369",1
"1370",1
"1371",7
"1372",1
"1373",1
"1374",2
"1375",0
"1376",1
"1377",1
"1378",1
"1379",0
"1380",1
"1381",1
"1382",0
"1383",4
"1384",1
"1385",0
"1386",1
"1387",0
"1388",1
"1389",1
"1390",1
"1391",0
"1392",0
"1393",2
"1394",2
"1395",0
"1396",1
"1397",0
"1398",7
"1399",4
"1400",0
"1401",1
"1402",0
"1403",0
"1404",1
"1405",3
"1406",1
"1407",1
"1408",1
"1409",1
"1410",0
"1411",2
"1412",1
"1413",2
"1414",0
"1415",1
"1416",0
"1417",4
"1418",1
"1419",4
"1420",0
"1421",1
"1422",5
"1423",18
"1424",0
"1425",2
"1426",3
"1427",4
"1428",1
"1429",1
"1430",1
"1431",1
"1432",1
"1433",1
"1434",4
"1435",2
"1436",1
"1437",1
"1438",0
"1439",3
"1440",3
"1441",1
"1442",5
"1443",0
"1444",1
"1445",1
"1446",0
"1447",1
"1448",2
"1449",6
"1450",0
"1451",1
"1452",1
"1453",1
"1454",1
"1455",1
"1456",1
"1457",1
"1458",1
"1459",4
"1460",1
"1461",1
"1462",1
"1463",1
"1464",0
"1465",1
"1466",0
"1467",1
"1468",0
"1469",4
"1470",1
"1471",0
"1472",1
"1473",0
"1474",1
"1475",0
"1476",1
"1477",1
"1478",1
"1479",1
"1480",5
"1481",6
"1482",7
"1483",2
"1484",1
"1485",4
"1486",2
"1487",0
"1488",0
"1489",0
"1490",3
"1491",1
"1492",5
"1493",0
"1494",0
"1495",1
"1496",0
"1497",1
"1498",1
"1499",1
"1500",3
"1501",1
"1502",1
"1503",1
"1504",0
"1505",2
"1506",1
"1507",1
"1508",0
"1509",1
"1510",0
"1511",0
"1512",1
"1513",2
"1514",2
"1515",2
"1516",1
"1517",2
"1518",0
"1519",1
"1520",1
"1521",2
"1522",2
"1523",6
"1524",1
"1525",1
"1526",1
"1527",3
"1528",0
"1529",2
"1530",0
"1531",1
"1532",0
"1533",1
"1534",1
"1535",4
"1536",0
"1537",3
"1538",0
"1539",1
"1540",0
"1541",0
"1542",1
"1543",1
"1544",1
"1545",0
"1546",1
"1547",1
"1548",1
"1549",1
"1550",1
"1551",1
"1552",1
"1553",0
"1554",2
"1555",1
"1556",0
"1557",1
"1558",1
"1559",1
"1560",1
"1561",5
"1562",0
"1563",1
"1564",1
"1565",1
"1566",0
"1567",0
"1568",4
"1569",2
"1570",0
"1571",1
"1572",14
"1573",0
"1574",1
"1575",0
"1576",0
"1577",1
"1578",1
"1579",1
"1580",0
"1581",5
"1582",1
"1583",0
"1584",1
"1585",0
"1586",3
"1587",0
"1588",1
"1589",1
"1590",1
"1591",3
"1592",2
"1593",0
"1594",2
"1595",0
"1596",2
"1597",4
"1598",4
"1599",1
"1600",0
"1601",1
"1602",1
"1603",1
"1604",1
"1605",0
"1606",3
"1607",3
"1608",3
"1609",1
"1610",1
"1611",1
"1612",1
"1613",1
"1614",12
"1615",0
"1616",2
"1617",2
"1618",1
"1619",2
"1620",0
"1621",2
"1622",7
"1623",2
"1624",6
"1625",1
"1626",4
"1627",1
"1628",3
"1629",2
"1630",2
"1631",0
"1632",1
"1633",0
"1634",1
"1635",1
"1636",1
"1637",0
"1638",1
"1639",5
"1640",3
"1641",0
"1642",1
"1643",3
"1644",1
"1645",2
"1646",0
"1647",1
"1648",0
"1649",1
"1650",0
"1651",0
"1652",1
"1653",1
"1654",1
"1655",1
"1656",0
"1657",1
"1658",1
"1659",0
"1660",0
"1661",2
"1662",7
"1663",4
"1664",2
"1665",5
"1666",3
"1667",1
"1668",1
"1669",1
"1670",2
"1671",3
"1672",0
"1673",6
"1674",2
"1675",0
"1676",2
"1677",1
"1678",2
"1679",1
"1680",1
"1681",5
"1682",1
"1683",1
"1684",4
"1685",1
"1686",3
"1687",0
"1688",1
"1689",1
"1690",3
"1691",1
"1692",3
"1693",0
"1694",0
"1695",1
"1696",1
"1697",2
"1698",2
"1699",1
"1700",0
"1701",1
"1702",0
"1703",0
"1704",0
"1705",1
"1706",0
"1707",0
"1708",0
"1709",1
"1710",1
"1711",1
"1712",0
"1713",1
"1714",0
"1715",0
"1716",2
"1717",1
"1718",1
"1719",1
"1720",0
"1721",2
"1722",0
"1723",1
"1724",0
"1725",2
"1726",0
"1727",0
"1728",0
"1729",1
"1730",1
"1731",1
"1732",0
"1733",1
"1734",0
"1735",0
"1736",1
"1737",0
"1738",1
"1739",1
"1740",1
"1741",3
"1742",2
"1743",1
"1744",0
"1745",1
"1746",1
"1747",1
"1748",2
"1749",4
"1750",1
"1751",0
"1752",1
"1753",1
"1754",1
"1755",1
"1756",3
"1757",0
"1758",1
"1759",0
"1760",1
"1761",1
"1762",0
"1763",1
"1764",2
"1765",0
"1766",2
"1767",1
"1768",1
"1769",1
"1770",2
"1771",1
"1772",1
"1773",0
"1774",1
"1775",1
"1776",1
"1777",3
"1778",1
"1779",0
"1780",5
"1781",0
"1782",20
"1783",2
"1784",0
"1785",0
"1786",0
"1787",1
"1788",1
"1789",2
"1790",1
"1791",0
"1792",0
"1793",0
"1794",0
"1795",2
"1796",3
"1797",3
"1798",0
"1799",0
"1800",0
"1801",1
"1802",4
"1803",1
"1804",1
"1805",1
"1806",0
"1807",1
"1808",0
"1809",1
"1810",0
"1811",1
"1812",0
"1813",0
"1814",0
"1815",1
"1816",0
"1817",0
"1818",1
"1819",0
"1820",1
"1821",2
"1822",1
"1823",2
"1824",2
"1825",1
"1826",1
"1827",0
"1828",0
"1829",0
"1830",2
"1831",3
"1832",1
"1833",1
"1834",0
"1835",4
"1836",4
"1837",0
"1838",1
"1839",1
"1840",1
"1841",12
"1842",3
"1843",1
"1844",2
"1845",2
"1846",12
"1847",1
"1848",1
"1849",0
"1850",0
"1851",0
"1852",0
"1853",0
"1854",6
"1855",1
"1856",0
"1857",1
"1858",1
"1859",0
"1860",5
"1861",1
"1862",0
"1863",1
"1864",1
"1865",1
"1866",0
"1867",1
"1868",4
"1869",0
"1870",1
"1871",3
"1872",2
"1873",1
"1874",1
"1875",1
"1876",1
"1877",2
"1878",0
"1879",1
"1880",2
"1881",1
"1882",1
"1883",4
"1884",1
"1885",1
"1886",3
"1887",0
"1888",1
"1889",1
"1890",6
"1891",1
"1892",0
"1893",1
"1894",0
"1895",0
"1896",1
"1897",0
"1898",1
"1899",1
"1900",2
"1901",1
"1902",0
"1903",1
"1904",0
"1905",1
"1906",1
"1907",0
"1908",0
"1909",1
"1910",1
"1911",1
"1912",1
"1913",1
"1914",0
"1915",0
"1916",1
"1917",1
"1918",1
"1919",1
"1920",1
"1921",1
"1922",0
"1923",3
"1924",1
"1925",1
"1926",1
"1927",5
"1928",1
"1929",2
"1930",0
"1931",4
"1932",12
"1933",3
"1934",2
"1935",1
"1936",1
"1937",1
"1938",3
"1939",1
"1940",2
"1941",1
"1942",2
"1943",1
"1944",3
"1945",5
"1946",0
"1947",0
"1948",1
"1949",1
"1950",2
"1951",0
"1952",1
"1953",1
"1954",0
"1955",1
"1956",4
"1957",1
"1958",2
"1959",1
"1960",2
"1961",2
"1962",14
"1963",1
"1964",1
"1965",1
"1966",2
"1967",2
"1968",0
"1969",2
"1970",1
"1971",1
"1972",1
"1973",1
"1974",1
"1975",7
"1976",1
"1977",2
"1978",0
"1979",1
"1980",0
"1981",0
"1982",2
"1983",0
"1984",9
"1985",0
"1986",0
"1987",2
"1988",1
"1989",0
"1990",0
"1991",3
"1992",0
"1993",1
"1994",5
"1995",1
"1996",4
"1997",1
"1998",2
"1999",1
"2000",2
"2001",0
"2002",0
"2003",4
"2004",1
"2005",0
"2006",1
"2007",3
"2008",1
"2009",1
"2010",1
"2011",1
"2012",0
"2013",1
"2014",0
"2015",0
"2016",1
"2017",0
"2018",0
"2019",3
"2020",3
"2021",1
"2022",0
"2023",2
"2024",0
"2025",0
"2026",0
"2027",5
"2028",2
"2029",11
"2030",1
"2031",1
"2032",0
"2033",5
"2034",3
"2035",0
"2036",1
"2037",0
"2038",2
"2039",0
"2040",1
"2041",2
"2042",0
"2043",16
"2044",1
"2045",5
"2046",0
"2047",1
"2048",2
"2049",0
"2050",5
"2051",1
"2052",5
"2053",1
"2054",1
"2055",0
"2056",3
"2057",1
"2058",0
"2059",0
"2060",0
"2061",2
"2062",2
"2063",0
"2064",1
"2065",4
"2066",0
"2067",0
"2068",0
"2069",2
"2070",0
"2071",3
"2072",1
"2073",1
"2074",0
"2075",1
"2076",0
"2077",0
"2078",3
"2079",1
"2080",4
"2081",2
"2082",1
"2083",0
"2084",4
"2085",0
"2086",1
"2087",0
"2088",4
"2089",0
"2090",0
"2091",0
"2092",2
"2093",1
"2094",1
"2095",3
"2096",1
"2097",10
"2098",4
"2099",1
"2100",3
"2101",1
"2102",1
"2103",0
"2104",1
"2105",2
"2106",0
"2107",1
"2108",2
"2109",0
"2110",1
"2111",2
"2112",2
"2113",1
"2114",3
"2115",0
"2116",0
"2117",0
"2118",4
"2119",1
"2120",1
"2121",1
"2122",0
"2123",7
"2124",4
"2125",0
"2126",0
"2127",0
"2128",0
"2129",1
"2130",1
"2131",0
"2132",0
"2133",1
"2134",3
"2135",2
"2136",5
"2137",2
"2138",1
"2139",1
"2140",1
"2141",0
"2142",1
"2143",1
"2144",2
"2145",1
"2146",1
"2147",1
"2148",4
"2149",5
"2150",1
"2151",2
"2152",1
"2153",1
"2154",3
"2155",1
"2156",1
"2157",1
"2158",1
"2159",2
"2160",0
"2161",1
"2162",1
"2163",2
"2164",8
"2165",1
"2166",1
"2167",0
"2168",14
"2169",0
"2170",1
"2171",2
"2172",1
"2173",1
"2174",2
"2175",0
"2176",1
"2177",0
"2178",0
"2179",2
"2180",2
"2181",1
"2182",2
"2183",0
"2184",3
"2185",0
"2186",0
"2187",0
"2188",0
"2189",1
"2190",1
"2191",1
"2192",1
"2193",1
"2194",1
"2195",4
"2196",5
"2197",3
"2198",2
"2199",0
"2200",1
"2201",7
"2202",0
"2203",1
"2204",0
"2205",0
"2206",1
"2207",1
"2208",1
"2209",2
"2210",10
"2211",0
"2212",1
"2213",2
"2214",1
"2215",0
"2216",2
"2217",2
"2218",2
"2219",2
"2220",0
"2221",1
"2222",1
"2223",2
"2224",2
"2225",1
"2226",1
"2227",1
"2228",0
"2229",3
"2230",0
"2231",2
"2232",2
"2233",1
"2234",1
"2235",3
"2236",1
"2237",0
"2238",0
"2239",2
"2240",1
"2241",3
"2242",2
"2243",1
"2244",2
"2245",2
"2246",1
"2247",1
"2248",0
"2249",1
"2250",4
"2251",3
"2252",1
"2253",2
"2254",7
"2255",0
"2256",1
"2257",1
"2258",0
"2259",1
"2260",1
"2261",0
"2262",1
"2263",2
"2264",0
"2265",5
"2266",1
"2267",1
"2268",1
"2269",1
"2270",1
"2271",0
"2272",1
"2273",0
"2274",4
"2275",1
"2276",0
"2277",1
"2278",0
"2279",1
"2280",0
"2281",1
"2282",2
"2283",1
"2284",0
"2285",1
"2286",1
"2287",1
"2288",1
"2289",3
"2290",2
"2291",1
"2292",1
"2293",1
"2294",2
"2295",1
"2296",0
"2297",1
"2298",1
"2299",1
"2300",1
"2301",1
"2302",0
"2303",1
"2304",1
"2305",2
"2306",6
"2307",1
"2308",1
"2309",0
"2310",1
"2311",0
"2312",4
"2313",0
"2314",0
"2315",1
"2316",3
"2317",4
"2318",1
"2319",1
"2320",1
"2321",0
"2322",1
"2323",0
"2324",3
"2325",1
"2326",1
"2327",0
"2328",0
"2329",1
"2330",1
"2331",1
"2332",1
"2333",2
"2334",1
"2335",1
"2336",0
"2337",2
"2338",1
"2339",1
"2340",1
"2341",1
"2342",3
"2343",1
"2344",15
"2345",7
"2346",1
"2347",3
"2348",1
"2349",2
"2350",0
"2351",1
"2352",2
"2353",1
"2354",0
"2355",1
"2356",1
"2357",1
"2358",0
"2359",0
"2360",2
"2361",0
"2362",7
"2363",2
"2364",1
"2365",3
"2366",7
"2367",1
"2368",1
"2369",1
"2370",0
"2371",1
"2372",1
"2373",3
"2374",0
"2375",1
"2376",1
"2377",1
"2378",3
"2379",6
"2380",2
"2381",0
"2382",1
"2383",0
"2384",1
"2385",1
"2386",6
"2387",1
"2388",4
"2389",2
"2390",3
"2391",0
"2392",1
"2393",2
"2394",1
"2395",1
"2396",4
"2397",5
"2398",0
"2399",0
"2400",1
"2401",4
"2402",0
"2403",0
"2404",1
"2405",0
"2406",0
"2407",1
"2408",1
"2409",0
"2410",0
"2411",1
"2412",0
"2413",6
"2414",1
"2415",1
"2416",1
"2417",0
"2418",1
"2419",6
"2420",0
"2421",1
"2422",1
"2423",2
"2424",0
"2425",1
"2426",0
"2427",1
"2428",2
"2429",4
"2430",1
"2431",0
"2432",1
"2433",2
"2434",0
"2435",1
"2436",1
"2437",6
"2438",0
"2439",0
"2440",8
"2441",4
"2442",1
"2443",1
"2444",1
"2445",1
"2446",1
"2447",1
"2448",0
"2449",0
"2450",0
"2451",1
"2452",1
"2453",7
"2454",0
"2455",3
"2456",2
"2457",11
"2458",7
"2459",1
"2460",1
"2461",1
"2462",3
"2463",2
"2464",0
"2465",3
"2466",1
"2467",0
"2468",0
"2469",0
"2470",10
"2471",5
"2472",2
"2473",2
"2474",1
"2475",1
"2476",12
"2477",3
"2478",1
"2479",8
"2480",7
"2481",1
"2482",1
"2483",0
"2484",4
"2485",2
"2486",1
"2487",5
"2488",0
"2489",1
"2490",2
"2491",0
"2492",2
"2493",2
"2494",1
"2495",1
"2496",2
"2497",0
"2498",1
